Ep ep_000146.4 | Time 0:36.31 | Steps  1763 | Reward   74664.6 | Avg(10)   83192.2 | Dist    442m ( 13.8%) | Buf  32.0% | Total  333893 | End: off_track
Ep ep_000147.4 | Time 1:32.37 | Steps  4437 | Reward  208926.7 | Avg(10)  101326.8 | Dist   2091m ( 65.4%) | Buf  32.9% | Total  338330 | End: off_track
  [ai-swap] loaded models/episodes/ep_000132.4 | new branch=5 | next=ep_000133.5
Ep ep_000133.5 | Time 0:24.64 | Steps  1213 | Reward   56235.5 | Avg(10)   56235.5 | Dist    108m (  3.4%) | Buf   0.2% | Total  339543 | End: off_track
Ep ep_000134.5 | Time 1:19.06 | Steps  3832 | Reward  186299.1 | Avg(10)  121267.3 | Dist   1400m ( 43.8%) | Buf   1.0% | Total  343375 | End: off_track
Ep ep_000135.5 | Time 1:06.14 | Steps  3245 | Reward  156177.6 | Avg(10)  132904.1 | Dist   1327m ( 41.5%) | Buf   1.7% | Total  346620 | End: off_track
Ep ep_000136.5 | Time 1:03.39 | Steps  3117 | Reward  151547.3 | Avg(10)  137564.9 | Dist   1328m ( 41.5%) | Buf   2.3% | Total  349737 | End: off_track
Ep ep_000137.5 | Time 0:11.43 | Steps   592 | Reward   25329.2 | Avg(10)  115117.8 | Dist     10m (  0.3%) | Buf   2.4% | Total  350329 | End: off_track
Ep ep_000138.5 | Time 1:40.73 | Steps  4817 | Reward  230735.2 | Avg(10)  134387.3 | Dist   2103m ( 65.7%) | Buf   3.4% | Total  355146 | End: off_track
Ep ep_000139.5 | Time 1:42.53 | Steps  4899 | Reward  238179.2 | Avg(10)  149214.7 | Dist   2037m ( 63.7%) | Buf   4.3% | Total  360045 | End: off_track
Ep ep_000140.5 | Time 1:44.03 | Steps  4967 | Reward  241134.5 | Avg(10)  160704.7 | Dist   2074m ( 64.8%) | Buf   5.3% | Total  365012 | End: off_track
Ep ep_000141.5 | Time 1:37.71 | Steps  4680 | Reward  226449.1 | Avg(10)  168009.6 | Dist   2078m ( 64.9%) | Buf   6.3% | Total  369692 | End: off_track
Ep ep_000142.5 | Time 1:00.99 | Steps  2997 | Reward  144145.0 | Avg(10)  165623.2 | Dist   1118m ( 34.9%) | Buf   6.9% | Total  372689 | End: off_track
Ep ep_000143.5 | Time 1:02.39 | Steps  3067 | Reward  145840.1 | Avg(10)  174583.7 | Dist   1123m ( 35.1%) | Buf   7.5% | Total  375756 | End: off_track
Ep ep_000144.5 | Time 0:19.40 | Steps   975 | Reward   43210.2 | Avg(10)  160274.8 | Dist     34m (  1.1%) | Buf   7.7% | Total  376731 | End: off_track
Ep ep_000145.5 | Time 0:18.76 | Steps   946 | Reward   42000.0 | Avg(10)  148857.0 | Dist     35m (  1.1%) | Buf   7.9% | Total  377677 | End: off_track
Ep ep_000146.5 | Time 0:20.19 | Steps  1011 | Reward   44857.1 | Avg(10)  138188.0 | Dist     40m (  1.2%) | Buf   8.1% | Total  378688 | End: off_track
Ep ep_000147.5 | Time 1:34.21 | Steps  4521 | Reward  218036.2 | Avg(10)  157458.7 | Dist   2035m ( 63.6%) | Buf   9.0% | Total  383209 | End: off_track
Ep ep_000148.5 | Time 1:31.75 | Steps  4409 | Reward  212630.7 | Avg(10)  155648.2 | Dist   2078m ( 64.9%) | Buf   9.9% | Total  387618 | End: off_track
Ep ep_000149.5 | Time 0:59.45 | Steps  2920 | Reward  140578.3 | Avg(10)  145888.1 | Dist   1141m ( 35.7%) | Buf  10.4% | Total  390538 | End: off_track
Ep ep_000150.5 | Time 0:56.65 | Steps  2780 | Reward  134260.1 | Avg(10)  135200.7 | Dist   1125m ( 35.1%) | Buf  11.0% | Total  393318 | End: off_track
  [ai-swap] loaded models/episodes/ep_000132.4 | new branch=6 | next=ep_000133.6
Ep ep_000133.6 | Time 0:22.96 | Steps  1137 | Reward   52576.0 | Avg(10)   52576.0 | Dist    108m (  3.4%) | Buf   0.2% | Total  394455 | End: off_track
Ep ep_000134.6 | Time 1:02.37 | Steps  3066 | Reward  149066.6 | Avg(10)  100821.3 | Dist   1322m ( 41.3%) | Buf   0.8% | Total  397521 | End: off_track
Ep ep_000135.6 | Time 0:55.67 | Steps  2731 | Reward  132383.4 | Avg(10)  111342.0 | Dist   1125m ( 35.1%) | Buf   1.4% | Total  400252 | End: off_track
Ep ep_000136.6 | Time 1:34.35 | Steps  4527 | Reward  215841.8 | Avg(10)  137466.9 | Dist   2099m ( 65.6%) | Buf   2.3% | Total  404779 | End: off_track
Ep ep_000137.6 | Time 0:10.49 | Steps   545 | Reward   23060.6 | Avg(10)  114585.7 | Dist     10m (  0.3%) | Buf   2.4% | Total  405324 | End: off_track
Ep ep_000138.6 | Time 0:23.01 | Steps  1139 | Reward   52579.2 | Avg(10)  104251.3 | Dist    146m (  4.6%) | Buf   2.6% | Total  406463 | End: off_track
Ep ep_000139.6 | Time 1:31.55 | Steps  4400 | Reward  209219.6 | Avg(10)  119246.7 | Dist   2000m ( 62.5%) | Buf   3.5% | Total  410863 | End: off_track
Ep ep_000140.6 | Time 0:57.47 | Steps  2821 | Reward  136881.9 | Avg(10)  121451.1 | Dist   1166m ( 36.4%) | Buf   4.1% | Total  413684 | End: off_track
Ep ep_000141.6 | Time 0:31.74 | Steps  1536 | Reward   69281.7 | Avg(10)  115654.5 | Dist    369m ( 11.5%) | Buf   4.4% | Total  415220 | End: off_track
Ep ep_000142.6 | Time 0:32.77 | Steps  1586 | Reward   72575.1 | Avg(10)  111346.6 | Dist    405m ( 12.7%) | Buf   4.7% | Total  416806 | End: off_track
Ep ep_000143.6 | Time 1:20.55 | Steps  3900 | Reward  190891.6 | Avg(10)  125178.1 | Dist   1986m ( 62.1%) | Buf   5.5% | Total  420706 | End: off_track
Ep ep_000144.6 | Time 1:07.59 | Steps  3311 | Reward  161435.4 | Avg(10)  126415.0 | Dist   1542m ( 48.2%) | Buf   6.1% | Total  424017 | End: off_track
  [ai-swap] loaded models/episodes/ep_000132.4 | new branch=7 | next=ep_000133.7
Ep ep_000133.7 | Time 0:22.63 | Steps  1122 | Reward   51841.8 | Avg(10)   51841.8 | Dist    111m (  3.5%) | Buf   0.2% | Total  425139 | End: off_track
Ep ep_000134.7 | Time 0:24.11 | Steps  1189 | Reward   55060.2 | Avg(10)   53451.0 | Dist    118m (  3.7%) | Buf   0.5% | Total  426328 | End: off_track
Ep ep_000135.7 | Time 0:34.69 | Steps  1682 | Reward   79644.5 | Avg(10)   62182.2 | Dist    404m ( 12.6%) | Buf   0.8% | Total  428010 | End: off_track
Ep ep_000136.7 | Time 0:20.04 | Steps  1004 | Reward   46024.6 | Avg(10)   58142.8 | Dist     76m (  2.4%) | Buf   1.0% | Total  429014 | End: off_track
Ep ep_000137.7 | Time 0:54.71 | Steps  2683 | Reward  129945.1 | Avg(10)   72503.2 | Dist   1123m ( 35.1%) | Buf   1.5% | Total  431697 | End: off_track
Ep ep_000138.7 | Time 0:55.77 | Steps  2736 | Reward  132604.4 | Avg(10)   82520.1 | Dist   1118m ( 34.9%) | Buf   2.1% | Total  434433 | End: off_track
Ep ep_000139.7 | Time 0:30.38 | Steps  1474 | Reward   69355.6 | Avg(10)   80639.4 | Dist    356m ( 11.1%) | Buf   2.4% | Total  435907 | End: off_track
Ep ep_000140.7 | Time 0:33.39 | Steps  1617 | Reward   73542.5 | Avg(10)   79752.3 | Dist    384m ( 12.0%) | Buf   2.7% | Total  437524 | End: off_track
Ep ep_000141.7 | Time 0:35.77 | Steps  1736 | Reward   80113.4 | Avg(10)   79792.4 | Dist    415m ( 13.0%) | Buf   3.0% | Total  439260 | End: off_track
Ep ep_000142.7 | Time 0:34.95 | Steps  1695 | Reward   78041.2 | Avg(10)   79617.3 | Dist    411m ( 12.8%) | Buf   3.4% | Total  440955 | End: off_track
Ep ep_000143.7 | Time 0:33.75 | Steps  1635 | Reward   76136.0 | Avg(10)   82046.7 | Dist    412m ( 12.9%) | Buf   3.7% | Total  442590 | End: off_track
Ep ep_000144.7 | Time 0:39.53 | Steps  1924 | Reward   91181.8 | Avg(10)   85658.9 | Dist    612m ( 19.1%) | Buf   4.1% | Total  444514 | End: off_track
Ep ep_000145.7 | Time 0:28.31 | Steps  1380 | Reward   64889.4 | Avg(10)   84183.4 | Dist    323m ( 10.1%) | Buf   4.4% | Total  445894 | End: off_track
Ep ep_000146.7 | Time 0:32.65 | Steps  1580 | Reward   74301.9 | Avg(10)   87011.1 | Dist    415m ( 13.0%) | Buf   4.7% | Total  447474 | End: off_track
Ep ep_000147.7 | Time 0:34.05 | Steps  1650 | Reward   75615.8 | Avg(10)   81578.2 | Dist    420m ( 13.1%) | Buf   5.0% | Total  449124 | End: off_track
  [ai-swap] loaded models/episodes/ep_000132.4 | new branch=8 | next=ep_000133.8
Ep ep_000133.8 | Time 0:23.18 | Steps  1147 | Reward   52894.0 | Avg(10)   52894.0 | Dist    107m (  3.3%) | Buf   0.2% | Total  450271 | End: off_track
Ep ep_000134.8 | Time 0:20.83 | Steps  1040 | Reward   47490.9 | Avg(10)   50192.5 | Dist     67m (  2.1%) | Buf   0.4% | Total  451311 | End: off_track
Ep ep_000135.8 | Time 0:18.34 | Steps   927 | Reward   42003.6 | Avg(10)   47462.8 | Dist     45m (  1.4%) | Buf   0.6% | Total  452238 | End: off_track
Ep ep_000136.8 | Time 0:47.53 | Steps  2324 | Reward  112010.0 | Avg(10)   63599.6 | Dist    948m ( 29.6%) | Buf   1.1% | Total  454562 | End: off_track
Ep ep_000137.8 | Time 0:32.23 | Steps  1559 | Reward   73789.8 | Avg(10)   65637.7 | Dist    468m ( 14.6%) | Buf   1.4% | Total  456121 | End: off_track
Ep ep_000138.8 | Time 0:32.95 | Steps  1595 | Reward   75598.4 | Avg(10)   67297.8 | Dist    478m ( 14.9%) | Buf   1.7% | Total  457716 | End: off_track
Ep ep_000139.8 | Time 0:46.69 | Steps  2282 | Reward  109864.3 | Avg(10)   73378.7 | Dist    941m ( 29.4%) | Buf   2.2% | Total  459998 | End: off_track
Ep ep_000140.8 | Time 0:18.52 | Steps   935 | Reward   42394.7 | Avg(10)   69505.7 | Dist     85m (  2.7%) | Buf   2.4% | Total  460933 | End: off_track
Ep ep_000141.8 | Time 0:18.92 | Steps   953 | Reward   43230.5 | Avg(10)   66586.2 | Dist     86m (  2.7%) | Buf   2.6% | Total  461886 | End: off_track
Ep ep_000142.8 | Time 1:08.12 | Steps  3335 | Reward  162260.2 | Avg(10)   76153.6 | Dist   1571m ( 49.1%) | Buf   3.2% | Total  465221 | End: off_track
Ep ep_000143.8 | Time 1:02.83 | Steps  3089 | Reward  150108.2 | Avg(10)   85875.0 | Dist   1318m ( 41.2%) | Buf   3.8% | Total  468310 | End: off_track
Ep ep_000144.8 | Time 0:25.05 | Steps  1232 | Reward   57067.6 | Avg(10)   86832.7 | Dist    249m (  7.8%) | Buf   4.1% | Total  469542 | End: off_track
Ep ep_000145.8 | Time 0:07.59 | Steps   402 | Reward   15799.7 | Avg(10)   84212.3 | Dist     10m (  0.3%) | Buf   4.2% | Total  469944 | End: off_track
Ep ep_000146.8 | Time 0:07.07 | Steps   378 | Reward   14621.7 | Avg(10)   74473.5 | Dist     10m (  0.3%) | Buf   4.2% | Total  470322 | End: off_track
Ep ep_000147.8 | Time 1:23.81 | Steps  4048 | Reward  197950.7 | Avg(10)   86889.6 | Dist   1984m ( 62.0%) | Buf   5.0% | Total  474370 | End: off_track
  [ai-swap] loaded models/episodes/ep_000132.4 | new branch=9 | next=ep_000133.9
Ep ep_000133.9 | Time 0:25.16 | Steps  1237 | Reward   57134.9 | Avg(10)   57134.9 | Dist    113m (  3.5%) | Buf   0.2% | Total  475607 | End: off_track
Ep ep_000134.9 | Time 1:13.62 | Steps  3585 | Reward  175046.0 | Avg(10)  116090.4 | Dist   1387m ( 43.3%) | Buf   1.0% | Total  479192 | End: off_track
Ep ep_000135.9 | Time 0:24.35 | Steps  1200 | Reward   55719.6 | Avg(10)   95966.8 | Dist    123m (  3.9%) | Buf   1.2% | Total  480392 | End: off_track
Ep ep_000136.9 | Time 0:23.25 | Steps  1150 | Reward   53255.0 | Avg(10)   85288.9 | Dist    119m (  3.7%) | Buf   1.4% | Total  481542 | End: off_track
Ep ep_000137.9 | Time 1:02.31 | Steps  3063 | Reward  146831.7 | Avg(10)   97597.4 | Dist   1129m ( 35.3%) | Buf   2.0% | Total  484605 | End: off_track
Ep ep_000138.9 | Time 1:24.64 | Steps  4086 | Reward  200122.8 | Avg(10)  114685.0 | Dist   1952m ( 61.0%) | Buf   2.9% | Total  488691 | End: off_track
Ep ep_000139.9 | Time 1:28.38 | Steps  4256 | Reward  208163.8 | Avg(10)  128039.1 | Dist   1855m ( 58.0%) | Buf   3.7% | Total  492947 | End: off_track
Ep ep_000140.9 | Time 1:30.89 | Steps  4370 | Reward  213981.1 | Avg(10)  138781.9 | Dist   1969m ( 61.5%) | Buf   4.6% | Total  497317 | End: off_track
Ep ep_000141.9 | Time 1:36.61 | Steps  4630 | Reward  224166.9 | Avg(10)  148269.1 | Dist   2076m ( 64.9%) | Buf   5.5% | Total  501947 | End: off_track
Ep ep_000142.9 | Time 1:45.37 | Steps  5028 | Reward  242632.5 | Avg(10)  157705.4 | Dist   2068m ( 64.6%) | Buf   6.5% | Total  506975 | End: off_track
Ep ep_000143.9 | Time 1:36.48 | Steps  4624 | Reward  223114.8 | Avg(10)  174303.4 | Dist   2087m ( 65.2%) | Buf   7.4% | Total  511599 | End: too_slow
Ep ep_000144.9 | Time 0:32.79 | Steps  1587 | Reward   75061.0 | Avg(10)  164304.9 | Dist    388m ( 12.1%) | Buf   7.8% | Total  513186 | End: off_track
Ep ep_000145.9 | Time 1:33.60 | Steps  4493 | Reward  219889.2 | Avg(10)  180721.9 | Dist   2079m ( 65.0%) | Buf   8.7% | Total  517679 | End: off_track
Ep ep_000146.9 | Time 1:06.03 | Steps  3240 | Reward  157753.6 | Avg(10)  191171.7 | Dist   1360m ( 42.5%) | Buf   9.3% | Total  520919 | End: off_track
Ep ep_000147.9 | Time 1:29.70 | Steps  4316 | Reward  211100.1 | Avg(10)  197598.6 | Dist   2082m ( 65.1%) | Buf  10.2% | Total  525235 | End: off_track
Ep ep_000148.9 | Time 1:01.07 | Steps  3001 | Reward  145737.0 | Avg(10)  192160.0 | Dist   1269m ( 39.7%) | Buf  10.8% | Total  528236 | End: off_track
Ep ep_000149.9 | Time 1:30.34 | Steps  4345 | Reward  211144.4 | Avg(10)  192458.1 | Dist   2081m ( 65.0%) | Buf  11.6% | Total  532581 | End: off_track
Ep ep_000150.9 | Time 1:27.79 | Steps  4229 | Reward  206091.1 | Avg(10)  191669.1 | Dist   2087m ( 65.2%) | Buf  12.5% | Total  536810 | End: off_track
Ep ep_000151.9 | Time 1:30.47 | Steps  4351 | Reward  211779.9 | Avg(10)  190430.4 | Dist   2086m ( 65.2%) | Buf  13.4% | Total  541161 | End: off_track
Ep ep_000152.9 | Time 1:30.63 | Steps  4358 | Reward  212543.1 | Avg(10)  187421.4 | Dist   2085m ( 65.2%) | Buf  14.2% | Total  545519 | End: off_track
Ep ep_000153.9 | Time 0:19.62 | Steps   985 | Reward   45026.6 | Avg(10)  169612.6 | Dist     69m (  2.2%) | Buf  14.4% | Total  546504 | End: off_track
Ep ep_000154.9 | Time 0:18.98 | Steps   956 | Reward   43594.7 | Avg(10)  166466.0 | Dist     67m (  2.1%) | Buf  14.6% | Total  547460 | End: off_track
Ep ep_000155.9 | Time 0:18.92 | Steps   953 | Reward   43463.1 | Avg(10)  148823.4 | Dist     67m (  2.1%) | Buf  14.8% | Total  548413 | End: off_track
Ep ep_000156.9 | Time 0:18.92 | Steps   953 | Reward   43464.5 | Avg(10)  137394.4 | Dist     72m (  2.2%) | Buf  15.0% | Total  549366 | End: off_track
Ep ep_000157.9 | Time 0:19.18 | Steps   965 | Reward   44093.5 | Avg(10)  120693.8 | Dist     68m (  2.1%) | Buf  15.2% | Total  550331 | End: off_track
Ep ep_000158.9 | Time 0:18.67 | Steps   942 | Reward   42940.7 | Avg(10)  110414.2 | Dist     70m (  2.2%) | Buf  15.4% | Total  551273 | End: off_track
Ep ep_000159.9 | Time 0:18.89 | Steps   952 | Reward   43457.9 | Avg(10)   93645.5 | Dist     67m (  2.1%) | Buf  15.6% | Total  552225 | End: off_track
Ep ep_000160.9 | Time 0:19.16 | Steps   964 | Reward   44074.0 | Avg(10)   77443.8 | Dist     69m (  2.2%) | Buf  15.8% | Total  553189 | End: off_track
Ep ep_000161.9 | Time 0:19.18 | Steps   965 | Reward   44139.9 | Avg(10)   60679.8 | Dist     63m (  2.0%) | Buf  16.0% | Total  554154 | End: off_track
Ep ep_000162.9 | Time 0:19.71 | Steps   989 | Reward   45264.8 | Avg(10)   43952.0 | Dist     66m (  2.1%) | Buf  16.2% | Total  555143 | End: off_track
Ep ep_000163.9 | Time 0:20.57 | Steps  1028 | Reward   47269.3 | Avg(10)   44176.2 | Dist     64m (  2.0%) | Buf  16.4% | Total  556171 | End: off_track
  [ai-swap] loaded models/episodes/ep_000147.9 | new branch=10 | next=ep_000148.10
Ep ep_000148.10 | Time 1:26.76 | Steps  4182 | Reward  203952.7 | Avg(10)  203952.7 | Dist   2091m ( 65.3%) | Buf   0.8% | Total  560353 | End: damage
Ep ep_000149.10 | Time 0:29.17 | Steps  1419 | Reward   66562.4 | Avg(10)  135257.6 | Dist    341m ( 10.6%) | Buf   1.1% | Total  561772 | End: off_track
Ep ep_000150.10 | Time 0:29.92 | Steps  1453 | Reward   67985.0 | Avg(10)  112833.4 | Dist    353m ( 11.0%) | Buf   1.4% | Total  563225 | End: off_track
Ep ep_000151.10 | Time 0:31.15 | Steps  1509 | Reward   69994.0 | Avg(10)  102123.5 | Dist    391m ( 12.2%) | Buf   1.7% | Total  564734 | End: off_track
Ep ep_000152.10 | Time 0:59.37 | Steps  2916 | Reward  141395.9 | Avg(10)  109978.0 | Dist   1149m ( 35.9%) | Buf   2.3% | Total  567650 | End: off_track
Ep ep_000153.10 | Time 0:30.40 | Steps  1475 | Reward   69477.2 | Avg(10)  103227.9 | Dist    342m ( 10.7%) | Buf   2.6% | Total  569125 | End: off_track
Ep ep_000154.10 | Time 0:29.96 | Steps  1455 | Reward   68423.6 | Avg(10)   98255.8 | Dist    349m ( 10.9%) | Buf   2.9% | Total  570580 | End: off_track
Ep ep_000155.10 | Time 0:31.76 | Steps  1537 | Reward   72538.6 | Avg(10)   95041.2 | Dist    387m ( 12.1%) | Buf   3.2% | Total  572117 | End: off_track
Ep ep_000156.10 | Time 0:40.57 | Steps  1976 | Reward   94487.5 | Avg(10)   94979.6 | Dist    617m ( 19.3%) | Buf   3.6% | Total  574093 | End: off_track
Ep ep_000157.10 | Time 0:29.70 | Steps  1443 | Reward   67749.9 | Avg(10)   92256.7 | Dist    341m ( 10.7%) | Buf   3.9% | Total  575536 | End: off_track
Ep ep_000158.10 | Time 0:41.15 | Steps  2005 | Reward   95926.8 | Avg(10)   81454.1 | Dist    649m ( 20.3%) | Buf   4.3% | Total  577541 | End: off_track
Ep ep_000159.10 | Time 0:29.54 | Steps  1436 | Reward   67543.1 | Avg(10)   81552.2 | Dist    348m ( 10.9%) | Buf   4.6% | Total  578977 | End: off_track
Ep ep_000160.10 | Time 0:50.37 | Steps  2466 | Reward  119130.7 | Avg(10)   86666.7 | Dist    899m ( 28.1%) | Buf   5.1% | Total  581443 | End: off_track
Ep ep_000161.10 | Time 0:58.87 | Steps  2891 | Reward  140394.4 | Avg(10)   93706.8 | Dist   1148m ( 35.9%) | Buf   5.6% | Total  584334 | End: off_track
  [ai-swap] loaded models/episodes/ep_000142.9 | new branch=11 | next=ep_000143.11
Ep ep_000143.11 | Time 0:34.93 | Steps  1694 | Reward   78470.2 | Avg(10)   78470.2 | Dist    420m ( 13.1%) | Buf   0.3% | Total  586028 | End: off_track
Ep ep_000144.11 | Time 0:40.49 | Steps  1972 | Reward   94389.5 | Avg(10)   86429.9 | Dist    635m ( 19.9%) | Buf   0.7% | Total  588000 | End: off_track
Ep ep_000145.11 | Time 0:19.03 | Steps   958 | Reward   43784.6 | Avg(10)   72214.8 | Dist     86m (  2.7%) | Buf   0.9% | Total  588958 | End: off_track
Ep ep_000146.11 | Time 1:55.60 | Steps  5493 | Reward  265512.8 | Avg(10)  120539.3 | Dist   2564m ( 80.1%) | Buf   2.0% | Total  594451 | End: off_track
Ep ep_000147.11 | Time 0:57.11 | Steps  2803 | Reward  136066.8 | Avg(10)  123644.8 | Dist   1220m ( 38.1%) | Buf   2.6% | Total  597254 | End: off_track
Ep ep_000148.11 | Time 0:18.34 | Steps   927 | Reward   42174.3 | Avg(10)  110066.4 | Dist    114m (  3.6%) | Buf   2.8% | Total  598181 | End: off_track
Ep ep_000149.11 | Time 0:17.93 | Steps   908 | Reward   41320.4 | Avg(10)  100245.5 | Dist    112m (  3.5%) | Buf   3.0% | Total  599089 | End: off_track
Ep ep_000150.11 | Time 0:18.01 | Steps   912 | Reward   41520.4 | Avg(10)   92904.9 | Dist    117m (  3.7%) | Buf   3.1% | Total  600001 | End: off_track
Ep ep_000151.11 | Time 0:18.96 | Steps   955 | Reward   43672.8 | Avg(10)   87434.6 | Dist    131m (  4.1%) | Buf   3.3% | Total  600956 | End: off_track
Ep ep_000152.11 | Time 0:18.54 | Steps   936 | Reward   42718.6 | Avg(10)   82963.0 | Dist    131m (  4.1%) | Buf   3.5% | Total  601892 | End: off_track
Ep ep_000153.11 | Time 0:26.59 | Steps  1302 | Reward   61022.4 | Avg(10)   81218.3 | Dist    357m ( 11.2%) | Buf   3.8% | Total  603194 | End: off_track
Ep ep_000154.11 | Time 0:27.54 | Steps  1345 | Reward   63168.5 | Avg(10)   78096.2 | Dist    384m ( 12.0%) | Buf   4.0% | Total  604539 | End: off_track
Ep ep_000155.11 | Time 0:26.84 | Steps  1313 | Reward   61563.3 | Avg(10)   79874.0 | Dist    345m ( 10.8%) | Buf   4.3% | Total  605852 | End: off_track
Ep ep_000156.11 | Time 0:27.76 | Steps  1355 | Reward   63647.8 | Avg(10)   59687.5 | Dist    387m ( 12.1%) | Buf   4.6% | Total  607207 | End: off_track
Ep ep_000157.11 | Time 0:26.20 | Steps  1284 | Reward   60088.8 | Avg(10)   52089.7 | Dist    345m ( 10.8%) | Buf   4.8% | Total  608491 | End: off_track
Ep ep_000158.11 | Time 0:27.52 | Steps  1344 | Reward   63060.1 | Avg(10)   54178.3 | Dist    345m ( 10.8%) | Buf   5.1% | Total  609835 | End: off_track
  [ai-swap] loaded models/episodes/ep_000147.9 | new branch=12 | next=ep_000148.12
Ep ep_000148.12 | Time 0:29.41 | Steps  1430 | Reward   67272.4 | Avg(10)   67272.4 | Dist    340m ( 10.6%) | Buf   0.3% | Total  611265 | End: off_track
Ep ep_000149.12 | Time 1:23.17 | Steps  4019 | Reward  196564.1 | Avg(10)  131918.3 | Dist   2028m ( 63.4%) | Buf   1.1% | Total  615284 | End: off_track
Ep ep_000150.12 | Time 0:30.71 | Steps  1489 | Reward   70103.8 | Avg(10)  111313.5 | Dist    346m ( 10.8%) | Buf   1.4% | Total  616773 | End: off_track
Ep ep_000151.12 | Time 0:29.74 | Steps  1445 | Reward   68017.9 | Avg(10)  100489.6 | Dist    350m ( 10.9%) | Buf   1.7% | Total  618218 | End: off_track
Ep ep_000152.12 | Time 0:39.43 | Steps  1919 | Reward   91700.1 | Avg(10)   98731.7 | Dist    631m ( 19.7%) | Buf   2.1% | Total  620137 | End: off_track
Ep ep_000153.12 | Time 0:28.62 | Steps  1394 | Reward   65587.0 | Avg(10)   93207.6 | Dist    352m ( 11.0%) | Buf   2.3% | Total  621531 | End: off_track
Ep ep_000154.12 | Time 0:28.07 | Steps  1369 | Reward   64338.1 | Avg(10)   89083.3 | Dist    353m ( 11.0%) | Buf   2.6% | Total  622900 | End: off_track
Ep ep_000155.12 | Time 0:58.05 | Steps  2850 | Reward  138388.1 | Avg(10)   95246.4 | Dist   1263m ( 39.5%) | Buf   3.2% | Total  625750 | End: off_track
Ep ep_000156.12 | Time 0:19.77 | Steps   992 | Reward   45279.1 | Avg(10)   89694.5 | Dist    115m (  3.6%) | Buf   3.4% | Total  626742 | End: off_track
Ep ep_000157.12 | Time 0:04.93 | Steps   281 | Reward    9957.5 | Avg(10)   81720.8 | Dist     10m (  0.3%) | Buf   3.4% | Total  627023 | End: off_track
Ep ep_000158.12 | Time 0:04.91 | Steps   280 | Reward    9912.6 | Avg(10)   75984.8 | Dist     10m (  0.3%) | Buf   3.5% | Total  627303 | End: off_track
Ep ep_000159.12 | Time 0:05.24 | Steps   295 | Reward   10656.7 | Avg(10)   57394.1 | Dist     10m (  0.3%) | Buf   3.6% | Total  627598 | End: off_track
Ep ep_000160.12 | Time 0:57.95 | Steps  2845 | Reward  138137.0 | Avg(10)   64197.4 | Dist   1200m ( 37.5%) | Buf   4.1% | Total  630443 | End: off_track
  [track] length measured by TORCS sensor: 3099m
Ep ep_000161.12 | Time 2:23.36 | Steps  6825 | Reward  338477.0 | Avg(10)   91243.3 | Dist   3099m (100.0%) | Buf   5.5% | Total  637268 | End: finished
  [ai-swap] loaded models/episodes/ep_000147.9 | new branch=13 | next=ep_000148.13
Ep ep_000148.13 | Time 0:22.81 | Steps  1130 | Reward   52324.5 | Avg(10)   52324.5 | Dist     52m (  1.7%) | Buf   0.2% | Total  638398 | End: off_track
Ep ep_000149.13 | Time 0:18.43 | Steps   931 | Reward   42322.2 | Avg(10)   47323.3 | Dist     10m (  0.3%) | Buf   0.4% | Total  639329 | End: off_track
Ep ep_000150.13 | Time 0:31.50 | Steps  1525 | Reward   69573.1 | Avg(10)   54739.9 | Dist    304m (  9.8%) | Buf   0.7% | Total  640854 | End: too_slow
Ep ep_000151.13 | Time 0:28.64 | Steps  1395 | Reward   65633.9 | Avg(10)   57463.4 | Dist    235m (  7.6%) | Buf   1.0% | Total  642249 | End: off_track
Ep ep_000152.13 | Time 0:04.32 | Steps   253 | Reward    8545.1 | Avg(10)   47679.7 | Dist     10m (  0.3%) | Buf   1.0% | Total  642502 | End: off_track
Ep ep_000153.13 | Time 0:29.54 | Steps  1436 | Reward   67678.5 | Avg(10)   51012.9 | Dist    238m (  7.7%) | Buf   1.3% | Total  643938 | End: off_track
Ep ep_000154.13 | Time 1:07.55 | Steps  3309 | Reward  161315.6 | Avg(10)   66770.4 | Dist   1442m ( 46.5%) | Buf   2.0% | Total  647247 | End: off_track
Ep ep_000155.13 | Time 1:04.71 | Steps  3180 | Reward  154897.5 | Avg(10)   77786.3 | Dist   1465m ( 47.3%) | Buf   2.6% | Total  650427 | End: off_track
Ep ep_000156.13 | Time 1:19.39 | Steps  3847 | Reward  188155.8 | Avg(10)   90049.6 | Dist   1974m ( 63.7%) | Buf   3.4% | Total  654274 | End: off_track
Ep ep_000157.13 | Time 1:18.86 | Steps  3823 | Reward  187062.3 | Avg(10)   99750.9 | Dist   1956m ( 63.1%) | Buf   4.2% | Total  658097 | End: off_track
Ep ep_000158.13 | Time 1:21.01 | Steps  3921 | Reward  191958.7 | Avg(10)  113714.3 | Dist   1954m ( 63.0%) | Buf   5.0% | Total  662018 | End: off_track
Ep ep_000159.13 | Time 1:23.63 | Steps  4040 | Reward  197783.9 | Avg(10)  129260.4 | Dist   1960m ( 63.2%) | Buf   5.8% | Total  666058 | End: off_track
Ep ep_000160.13 | Time 0:19.66 | Steps   987 | Reward   45037.1 | Avg(10)  126806.8 | Dist     15m (  0.5%) | Buf   6.0% | Total  667045 | End: off_track
Ep ep_000161.13 | Time 1:30.50 | Steps  4352 | Reward  209121.2 | Avg(10)  141155.6 | Dist   2029m ( 65.5%) | Buf   6.8% | Total  671397 | End: off_track
