Ep ep_000530.19 | Time 1:51.81 | Steps  5321 | Reward  261655.6 | Avg(10)  257393.1 | Dist   2204m ( 68.9%) | Buf  32.7% | Total  163535 | End: off_track
=== Restarting after change (load: models/episodes/ep_000447.18) 2026-05-31 02:55:39 ===
=== Session 2026-05-31 02:56:03 | loaded: models/episodes/ep_000447.18 | next: ep_000448.20 ===
Ep ep_000448.20 | Time 0:03.52 | Steps   217 | Reward    5884.6 | Avg(10)    5884.6 | Dist     10m (  0.3%) | Buf   0.0% | Total     217 | End: off_track
Ep ep_000449.20 | Time 0:03.30 | Steps   207 | Reward    5166.8 | Avg(10)    5525.7 | Dist     10m (  0.3%) | Buf   0.1% | Total     424 | End: off_track
Ep ep_000450.20 | Time 0:03.57 | Steps   219 | Reward    5761.9 | Avg(10)    5604.4 | Dist     10m (  0.3%) | Buf   0.1% | Total     643 | End: off_track
Ep ep_000451.20 | Time 0:04.56 | Steps   264 | Reward    8409.8 | Avg(10)    6305.8 | Dist     10m (  0.3%) | Buf   0.2% | Total     907 | End: off_track
Ep ep_000452.20 | Time 0:04.67 | Steps   269 | Reward    8728.8 | Avg(10)    6790.4 | Dist     10m (  0.3%) | Buf   0.2% | Total    1176 | End: off_track
Ep ep_000453.20 | Time 0:03.28 | Steps   206 | Reward    5091.0 | Avg(10)    6507.2 | Dist     10m (  0.3%) | Buf   0.3% | Total    1382 | End: off_track
Ep ep_000454.20 | Time 0:06.05 | Steps   332 | Reward   11753.6 | Avg(10)    7256.7 | Dist     10m (  0.3%) | Buf   0.3% | Total    1714 | End: off_track
Ep ep_000455.20 | Time 0:06.45 | Steps   350 | Reward   12801.9 | Avg(10)    7949.8 | Dist     10m (  0.3%) | Buf   0.4% | Total    2064 | End: off_track
Ep ep_000456.20 | Time 0:03.81 | Steps   230 | Reward    6625.8 | Avg(10)    7802.7 | Dist     10m (  0.3%) | Buf   0.5% | Total    2294 | End: off_track
Ep ep_000457.20 | Time 0:03.44 | Steps   213 | Reward    5574.3 | Avg(10)    7579.9 | Dist     10m (  0.3%) | Buf   0.5% | Total    2507 | End: off_track
Ep ep_000458.20 | Time 0:03.90 | Steps   234 | Reward    6732.0 | Avg(10)    7664.6 | Dist     10m (  0.3%) | Buf   0.5% | Total    2741 | End: off_track
Ep ep_000459.20 | Time 0:03.28 | Steps   206 | Reward    5294.2 | Avg(10)    7677.3 | Dist     10m (  0.3%) | Buf   0.6% | Total    2947 | End: off_track
Ep ep_000460.20 | Time 0:06.65 | Steps   359 | Reward   13232.2 | Avg(10)    8424.4 | Dist     10m (  0.3%) | Buf   0.7% | Total    3306 | End: off_track
Ep ep_000461.20 | Time 0:05.48 | Steps   306 | Reward   10549.1 | Avg(10)    8638.3 | Dist     10m (  0.3%) | Buf   0.7% | Total    3612 | End: off_track
Ep ep_000462.20 | Time 0:05.53 | Steps   308 | Reward   10653.5 | Avg(10)    8830.8 | Dist     10m (  0.3%) | Buf   0.8% | Total    3920 | End: off_track
Ep ep_000463.20 | Time 0:03.70 | Steps   225 | Reward    6343.8 | Avg(10)    8956.0 | Dist     10m (  0.3%) | Buf   0.8% | Total    4145 | End: off_track
Ep ep_000464.20 | Time 0:04.95 | Steps   282 | Reward    9250.9 | Avg(10)    8705.8 | Dist     10m (  0.3%) | Buf   0.9% | Total    4427 | End: off_track
Ep ep_000465.20 | Time 0:03.28 | Steps   206 | Reward    5134.3 | Avg(10)    7939.0 | Dist     10m (  0.3%) | Buf   0.9% | Total    4633 | End: off_track
Ep ep_000466.20 | Time 0:03.68 | Steps   224 | Reward    6120.0 | Avg(10)    7888.4 | Dist     10m (  0.3%) | Buf   1.0% | Total    4857 | End: off_track
Ep ep_000467.20 | Time 0:24.97 | Steps  1228 | Reward   56611.3 | Avg(10)   12992.1 | Dist     82m (  2.6%) | Buf   1.2% | Total    6085 | End: off_track
Ep ep_000468.20 | Time 0:21.36 | Steps  1064 | Reward   47361.2 | Avg(10)   17055.1 | Dist     10m (  0.3%) | Buf   1.4% | Total    7149 | End: off_track
Ep ep_000469.20 | Time 0:19.53 | Steps   981 | Reward   43872.0 | Avg(10)   20912.8 | Dist     10m (  0.3%) | Buf   1.6% | Total    8130 | End: off_track
Ep ep_000470.20 | Time 0:19.80 | Steps   993 | Reward   45000.8 | Avg(10)   24089.7 | Dist     10m (  0.3%) | Buf   1.8% | Total    9123 | End: off_track
Ep ep_000471.20 | Time 0:21.60 | Steps  1075 | Reward   49304.9 | Avg(10)   27965.3 | Dist     30m (  0.9%) | Buf   2.0% | Total   10198 | End: off_track
Ep ep_000472.20 | Time 0:22.22 | Steps  1103 | Reward   50751.4 | Avg(10)   31975.1 | Dist     25m (  0.8%) | Buf   2.3% | Total   11301 | End: off_track
Ep ep_000473.20 | Time 0:21.62 | Steps  1076 | Reward   49503.4 | Avg(10)   36291.0 | Dist     26m (  0.8%) | Buf   2.5% | Total   12377 | End: off_track
Ep ep_000474.20 | Time 0:20.28 | Steps  1015 | Reward   46430.5 | Avg(10)   40009.0 | Dist     34m (  1.1%) | Buf   2.7% | Total   13392 | End: off_track
Ep ep_000475.20 | Time 0:22.85 | Steps  1132 | Reward   51930.9 | Avg(10)   44688.6 | Dist     99m (  3.1%) | Buf   2.9% | Total   14524 | End: off_track
Ep ep_000476.20 | Time 0:15.71 | Steps   806 | Reward   35899.5 | Avg(10)   47666.6 | Dist     26m (  0.8%) | Buf   3.1% | Total   15330 | End: off_track
Ep ep_000477.20 | Time 0:16.30 | Steps   834 | Reward   37349.8 | Avg(10)   45740.4 | Dist     20m (  0.6%) | Buf   3.2% | Total   16164 | End: off_track
Ep ep_000478.20 | Time 0:16.94 | Steps   863 | Reward   38670.4 | Avg(10)   44871.3 | Dist     42m (  1.3%) | Buf   3.4% | Total   17027 | End: off_track
Ep ep_000479.20 | Time 0:17.40 | Steps   884 | Reward   39777.3 | Avg(10)   44461.9 | Dist     39m (  1.2%) | Buf   3.6% | Total   17911 | End: off_track
Ep ep_000480.20 | Time 0:19.42 | Steps   976 | Reward   43818.6 | Avg(10)   44343.7 | Dist     70m (  2.2%) | Buf   3.8% | Total   18887 | End: off_track
Ep ep_000481.20 | Time 0:16.41 | Steps   839 | Reward   37436.7 | Avg(10)   43156.8 | Dist     13m (  0.4%) | Buf   3.9% | Total   19726 | End: off_track
Ep ep_000482.20 | Time 0:16.72 | Steps   853 | Reward   38150.5 | Avg(10)   41896.7 | Dist     12m (  0.4%) | Buf   4.1% | Total   20579 | End: off_track
Ep ep_000483.20 | Time 0:17.31 | Steps   880 | Reward   39498.1 | Avg(10)   40896.2 | Dist     37m (  1.2%) | Buf   4.3% | Total   21459 | End: off_track
Ep ep_000484.20 | Time 0:17.11 | Steps   871 | Reward   39192.6 | Avg(10)   40172.4 | Dist     31m (  1.0%) | Buf   4.5% | Total   22330 | End: off_track
Ep ep_000485.20 | Time 0:31.96 | Steps  1546 | Reward   71702.7 | Avg(10)   42149.6 | Dist    371m ( 11.6%) | Buf   4.8% | Total   23876 | End: too_slow
Ep ep_000486.20 | Time 0:32.91 | Steps  1593 | Reward   71616.5 | Avg(10)   45721.3 | Dist    394m ( 12.3%) | Buf   5.1% | Total   25469 | End: too_slow
Ep ep_000487.20 | Time 0:20.41 | Steps  1021 | Reward   46497.3 | Avg(10)   46636.1 | Dist     80m (  2.5%) | Buf   5.3% | Total   26490 | End: off_track
Ep ep_000488.20 | Time 0:47.19 | Steps  2307 | Reward  108031.1 | Avg(10)   53572.1 | Dist    715m ( 22.3%) | Buf   5.8% | Total   28797 | End: off_track
Ep ep_000489.20 | Time 1:38.64 | Steps  4722 | Reward  231350.1 | Avg(10)   72729.4 | Dist   2053m ( 64.2%) | Buf   6.7% | Total   33519 | End: off_track
Ep ep_000490.20 | Time 0:03.61 | Steps   221 | Reward    5963.6 | Avg(10)   68943.9 | Dist     10m (  0.3%) | Buf   6.7% | Total   33740 | End: off_track
Ep ep_000491.20 | Time 0:31.32 | Steps  1517 | Reward   69660.0 | Avg(10)   72166.2 | Dist    391m ( 12.2%) | Buf   7.1% | Total   35257 | End: too_slow
Ep ep_000492.20 | Time 0:32.99 | Steps  1597 | Reward   71845.8 | Avg(10)   75535.8 | Dist    403m ( 12.6%) | Buf   7.4% | Total   36854 | End: too_slow
Ep ep_000493.20 | Time 0:12.45 | Steps   643 | Reward   27762.1 | Avg(10)   74362.2 | Dist     10m (  0.3%) | Buf   7.5% | Total   37497 | End: off_track
Ep ep_000494.20 | Time 0:31.70 | Steps  1534 | Reward   69182.2 | Avg(10)   77361.1 | Dist    405m ( 12.7%) | Buf   7.8% | Total   39031 | End: too_slow
Ep ep_000495.20 | Time 0:11.79 | Steps   610 | Reward   25611.0 | Avg(10)   72752.0 | Dist     10m (  0.3%) | Buf   7.9% | Total   39641 | End: off_track
Ep ep_000496.20 | Time 0:12.35 | Steps   638 | Reward   27575.2 | Avg(10)   68347.8 | Dist     10m (  0.3%) | Buf   8.1% | Total   40279 | End: off_track
Ep ep_000497.20 | Time 0:13.01 | Steps   671 | Reward   28727.0 | Avg(10)   66570.8 | Dist     10m (  0.3%) | Buf   8.2% | Total   40950 | End: off_track
Ep ep_000498.20 | Time 0:32.39 | Steps  1567 | Reward   71549.8 | Avg(10)   62922.7 | Dist    400m ( 12.5%) | Buf   8.5% | Total   42517 | End: off_track
Ep ep_000499.20 | Time 1:17.19 | Steps  3747 | Reward  171548.2 | Avg(10)   56942.5 | Dist   1341m ( 41.9%) | Buf   9.3% | Total   46264 | End: off_track
Ep ep_000500.20 | Time 0:32.19 | Steps  1557 | Reward   73555.7 | Avg(10)   63701.7 | Dist    418m ( 13.1%) | Buf   9.6% | Total   47821 | End: off_track
Ep ep_000501.20 | Time 0:13.71 | Steps   706 | Reward   31006.8 | Avg(10)   59836.4 | Dist     10m (  0.3%) | Buf   9.7% | Total   48527 | End: off_track
Ep ep_000502.20 | Time 1:24.53 | Steps  4081 | Reward  199767.2 | Avg(10)   72628.5 | Dist   1824m ( 57.0%) | Buf  10.5% | Total   52608 | End: off_track
Ep ep_000503.20 | Time 1:33.66 | Steps  4496 | Reward  219291.9 | Avg(10)   91781.5 | Dist   2084m ( 65.1%) | Buf  11.4% | Total   57104 | End: off_track
Ep ep_000504.20 | Time 0:10.33 | Steps   537 | Reward   22511.8 | Avg(10)   87114.5 | Dist     10m (  0.3%) | Buf  11.5% | Total   57641 | End: off_track
Ep ep_000505.20 | Time 0:45.31 | Steps  2213 | Reward  105348.0 | Avg(10)   95088.2 | Dist    736m ( 23.0%) | Buf  12.0% | Total   59854 | End: off_track
Ep ep_000506.20 | Time 0:32.81 | Steps  1588 | Reward   74942.8 | Avg(10)   99824.9 | Dist    504m ( 15.7%) | Buf  12.3% | Total   61442 | End: off_track
Ep ep_000507.20 | Time 0:13.09 | Steps   675 | Reward   29288.2 | Avg(10)   99881.1 | Dist     10m (  0.3%) | Buf  12.4% | Total   62117 | End: off_track
Ep ep_000508.20 | Time 0:16.47 | Steps   842 | Reward   37683.8 | Avg(10)   96494.5 | Dist     33m (  1.0%) | Buf  12.6% | Total   62959 | End: off_track
Ep ep_000509.20 | Time 1:50.93 | Steps  5281 | Reward  249076.7 | Avg(10)  104247.3 | Dist   2098m ( 65.6%) | Buf  13.6% | Total   68240 | End: off_track
Ep ep_000510.20 | Time 1:40.88 | Steps  4824 | Reward  235669.9 | Avg(10)  120458.7 | Dist   2103m ( 65.7%) | Buf  14.6% | Total   73064 | End: off_track
Ep ep_000511.20 | Time 1:50.54 | Steps  5263 | Reward  256119.8 | Avg(10)  142970.0 | Dist   2090m ( 65.3%) | Buf  15.7% | Total   78327 | End: off_track
Ep ep_000512.20 | Time 1:34.83 | Steps  4549 | Reward  222278.9 | Avg(10)  145221.2 | Dist   1837m ( 57.4%) | Buf  16.6% | Total   82876 | End: off_track
Ep ep_000513.20 | Time 1:42.64 | Steps  4904 | Reward  238914.6 | Avg(10)  147183.4 | Dist   1887m ( 59.0%) | Buf  17.6% | Total   87780 | End: off_track
Ep ep_000514.20 | Time 1:50.08 | Steps  5242 | Reward  255532.1 | Avg(10)  170485.5 | Dist   2091m ( 65.4%) | Buf  18.6% | Total   93022 | End: off_track
Ep ep_000515.20 | Time 1:54.54 | Steps  5445 | Reward  265837.9 | Avg(10)  186534.5 | Dist   2093m ( 65.4%) | Buf  19.7% | Total   98467 | End: off_track
Ep ep_000516.20 | Time 1:56.59 | Steps  5538 | Reward  269988.3 | Avg(10)  206039.0 | Dist   2089m ( 65.3%) | Buf  20.8% | Total  104005 | End: off_track
Ep ep_000517.20 | Time 1:51.88 | Steps  5324 | Reward  260798.3 | Avg(10)  229190.0 | Dist   2093m ( 65.4%) | Buf  21.9% | Total  109329 | End: off_track
Ep ep_000518.20 | Time 1:00.35 | Steps  2965 | Reward  142512.0 | Avg(10)  239672.9 | Dist   1090m ( 34.1%) | Buf  22.5% | Total  112294 | End: off_track
Ep ep_000519.20 | Time 1:48.71 | Steps  5180 | Reward  254005.4 | Avg(10)  240165.7 | Dist   2098m ( 65.6%) | Buf  23.5% | Total  117474 | End: off_track
Ep ep_000520.20 | Time 1:48.10 | Steps  5152 | Reward  251777.7 | Avg(10)  241776.5 | Dist   2087m ( 65.2%) | Buf  24.5% | Total  122626 | End: too_slow
Ep ep_000521.20 | Time 1:45.37 | Steps  5028 | Reward  245021.8 | Avg(10)  240666.7 | Dist   2086m ( 65.2%) | Buf  25.5% | Total  127654 | End: too_slow
Ep ep_000522.20 | Time 1:46.16 | Steps  5064 | Reward  247821.9 | Avg(10)  243221.0 | Dist   2085m ( 65.2%) | Buf  26.5% | Total  132718 | End: too_slow
Ep ep_000523.20 | Time 1:47.74 | Steps  5136 | Reward  250133.4 | Avg(10)  244342.9 | Dist   2086m ( 65.2%) | Buf  27.6% | Total  137854 | End: too_slow
  [track] length measured by TORCS sensor: 3100m
Ep ep_000524.20 | Time 2:40.02 | Steps  7658 | Reward  380166.1 | Avg(10)  256806.3 | Dist   3100m (100.0%) | Buf  29.1% | Total  145512 | End: finished
Ep ep_000525.20 | Time 1:46.45 | Steps  5077 | Reward  246004.7 | Avg(10)  254823.0 | Dist   1991m ( 64.2%) | Buf  30.1% | Total  150589 | End: off_track
Ep ep_000526.20 | Time 1:52.74 | Steps  5363 | Reward  261698.8 | Avg(10)  253994.0 | Dist   1997m ( 64.4%) | Buf  31.2% | Total  155952 | End: off_track
Ep ep_000527.20 | Time 1:12.94 | Steps  3554 | Reward  171916.9 | Avg(10)  245105.9 | Dist   1102m ( 35.6%) | Buf  31.9% | Total  159506 | End: off_track
Ep ep_000528.20 | Time 1:13.60 | Steps  3584 | Reward  172787.6 | Avg(10)  248133.4 | Dist   1100m ( 35.5%) | Buf  32.6% | Total  163090 | End: off_track
Ep ep_000529.20 | Time 1:12.43 | Steps  3531 | Reward  167803.2 | Avg(10)  239513.2 | Dist   1100m ( 35.5%) | Buf  33.3% | Total  166621 | End: off_track
Ep ep_000530.20 | Time 1:09.68 | Steps  3406 | Reward  162565.7 | Avg(10)  230592.0 | Dist   1095m ( 35.3%) | Buf  34.0% | Total  170027 | End: off_track
Ep ep_000531.20 | Time 1:04.45 | Steps  3168 | Reward  154060.2 | Avg(10)  221495.8 | Dist   1051m ( 33.9%) | Buf  34.6% | Total  173195 | End: off_track
Ep ep_000532.20 | Time 1:02.81 | Steps  3088 | Reward  150180.7 | Avg(10)  211731.7 | Dist   1062m ( 34.3%) | Buf  35.3% | Total  176283 | End: off_track
Ep ep_000533.20 | Time 1:02.97 | Steps  3096 | Reward  150583.5 | Avg(10)  201776.7 | Dist   1053m ( 34.0%) | Buf  35.9% | Total  179379 | End: off_track
Ep ep_000534.20 | Time 1:04.51 | Steps  3171 | Reward  153953.6 | Avg(10)  179155.5 | Dist   1055m ( 34.0%) | Buf  36.5% | Total  182550 | End: off_track
Ep ep_000535.20 | Time 1:05.66 | Steps  3223 | Reward  156732.8 | Avg(10)  170228.3 | Dist   1076m ( 34.7%) | Buf  37.2% | Total  185773 | End: off_track
Ep ep_000536.20 | Time 1:07.20 | Steps  3293 | Reward  160314.2 | Avg(10)  160089.8 | Dist   1071m ( 34.5%) | Buf  37.8% | Total  189066 | End: off_track
Ep ep_000537.20 | Time 1:50.12 | Steps  5244 | Reward  255595.7 | Avg(10)  168457.7 | Dist   2004m ( 64.6%) | Buf  38.9% | Total  194310 | End: off_track
Ep ep_000538.20 | Time 0:34.27 | Steps  1661 | Reward   78550.2 | Avg(10)  159034.0 | Dist    291m (  9.4%) | Buf  39.2% | Total  195971 | End: off_track
Ep ep_000539.20 | Time 0:32.63 | Steps  1579 | Reward   74555.6 | Avg(10)  149709.2 | Dist    255m (  8.2%) | Buf  39.5% | Total  197550 | End: off_track
Ep ep_000540.20 | Time 1:10.28 | Steps  3433 | Reward  167287.1 | Avg(10)  150181.4 | Dist   1084m ( 35.0%) | Buf  40.2% | Total  200983 | End: off_track
Ep ep_000541.20 | Time 0:34.61 | Steps  1678 | Reward   79566.7 | Avg(10)  142732.0 | Dist    296m (  9.6%) | Buf  40.5% | Total  202661 | End: off_track
Ep ep_000542.20 | Time 1:09.20 | Steps  3384 | Reward  164608.3 | Avg(10)  144174.8 | Dist   1091m ( 35.2%) | Buf  41.2% | Total  206045 | End: off_track
Ep ep_000543.20 | Time 1:11.05 | Steps  3468 | Reward  168919.3 | Avg(10)  146008.4 | Dist   1131m ( 36.5%) | Buf  41.9% | Total  209513 | End: off_track
Ep ep_000544.20 | Time 1:45.32 | Steps  5026 | Reward  242042.6 | Avg(10)  154817.3 | Dist   1737m ( 56.0%) | Buf  42.9% | Total  214539 | End: off_track
Ep ep_000545.20 | Time 1:36.00 | Steps  4602 | Reward  223681.0 | Avg(10)  161512.1 | Dist   1625m ( 52.4%) | Buf  43.8% | Total  219141 | End: off_track
Ep ep_000546.20 | Time 1:31.33 | Steps  4390 | Reward  213919.2 | Avg(10)  166872.6 | Dist   1561m ( 50.4%) | Buf  44.7% | Total  223531 | End: off_track
Ep ep_000547.20 | Time 2:36.83 | Steps  7498 | Reward  363504.6 | Avg(10)  177663.5 | Dist   2779m ( 89.6%) | Buf  46.2% | Total  231029 | End: off_track
Ep ep_000548.20 | Time 1:29.95 | Steps  4327 | Reward  211476.5 | Avg(10)  190956.1 | Dist   1467m ( 47.3%) | Buf  47.1% | Total  235356 | End: off_track
Ep ep_000549.20 | Time 1:44.58 | Steps  4992 | Reward  240079.2 | Avg(10)  207508.5 | Dist   1735m ( 56.0%) | Buf  48.1% | Total  240348 | End: off_track
Ep ep_000550.20 | Time 0:23.27 | Steps  1151 | Reward   53338.9 | Avg(10)  196113.6 | Dist     10m (  0.3%) | Buf  48.3% | Total  241499 | End: off_track
Ep ep_000551.20 | Time 0:21.49 | Steps  1070 | Reward   49187.0 | Avg(10)  193075.7 | Dist     10m (  0.3%) | Buf  48.5% | Total  242569 | End: off_track
Ep ep_000552.20 | Time 0:20.94 | Steps  1045 | Reward   47907.0 | Avg(10)  181405.5 | Dist     10m (  0.3%) | Buf  48.7% | Total  243614 | End: off_track
Ep ep_000553.20 | Time 1:44.29 | Steps  4979 | Reward  239394.4 | Avg(10)  188453.0 | Dist   1759m ( 56.8%) | Buf  49.7% | Total  248593 | End: off_track
Ep ep_000554.20 | Time 0:20.41 | Steps  1021 | Reward   46729.2 | Avg(10)  168921.7 | Dist     10m (  0.3%) | Buf  49.9% | Total  249614 | End: off_track
Ep ep_000555.20 | Time 0:20.87 | Steps  1042 | Reward   47845.5 | Avg(10)  151338.1 | Dist     10m (  0.3%) | Buf  50.1% | Total  250656 | End: off_track
Ep ep_000556.20 | Time 0:23.38 | Steps  1156 | Reward   53533.7 | Avg(10)  135299.6 | Dist     10m (  0.3%) | Buf  50.4% | Total  251812 | End: off_track
Ep ep_000557.20 | Time 0:22.70 | Steps  1125 | Reward   51921.1 | Avg(10)  104141.2 | Dist     10m (  0.3%) | Buf  50.6% | Total  252937 | End: off_track
Ep ep_000558.20 | Time 0:20.50 | Steps  1025 | Reward   46974.8 | Avg(10)   87691.1 | Dist     10m (  0.3%) | Buf  50.8% | Total  253962 | End: off_track
Ep ep_000559.20 | Time 0:22.92 | Steps  1135 | Reward   52462.1 | Avg(10)   68929.4 | Dist     10m (  0.3%) | Buf  51.0% | Total  255097 | End: off_track
Ep ep_000560.20 | Time 0:22.55 | Steps  1118 | Reward   51683.1 | Avg(10)   68763.8 | Dist     10m (  0.3%) | Buf  51.2% | Total  256215 | End: off_track
Ep ep_000561.20 | Time 0:22.50 | Steps  1116 | Reward   51584.2 | Avg(10)   69003.5 | Dist     10m (  0.3%) | Buf  51.5% | Total  257331 | End: off_track
Ep ep_000562.20 | Time 1:50.03 | Steps  5240 | Reward  255689.1 | Avg(10)   89781.7 | Dist   1994m ( 64.3%) | Buf  52.5% | Total  262571 | End: off_track
Ep ep_000563.20 | Time 0:22.57 | Steps  1119 | Reward   51737.4 | Avg(10)   71016.0 | Dist     10m (  0.3%) | Buf  52.7% | Total  263690 | End: off_track
Ep ep_000564.20 | Time 0:22.85 | Steps  1132 | Reward   52313.1 | Avg(10)   71574.4 | Dist     10m (  0.3%) | Buf  53.0% | Total  264822 | End: off_track
Ep ep_000565.20 | Time 2:30.73 | Steps  7193 | Reward  353525.3 | Avg(10)  102142.4 | Dist   2774m ( 89.5%) | Buf  54.4% | Total  272015 | End: off_track
Ep ep_000566.20 | Time 0:21.62 | Steps  1076 | Reward   49655.6 | Avg(10)  101754.6 | Dist     10m (  0.3%) | Buf  54.6% | Total  273091 | End: off_track
Ep ep_000567.20 | Time 0:21.07 | Steps  1051 | Reward   48299.8 | Avg(10)  101392.4 | Dist     10m (  0.3%) | Buf  54.8% | Total  274142 | End: off_track
Ep ep_000568.20 | Time 1:06.65 | Steps  3268 | Reward  157001.9 | Avg(10)  112395.2 | Dist   1062m ( 34.3%) | Buf  55.5% | Total  277410 | End: too_slow
Ep ep_000569.20 | Time 1:27.11 | Steps  4198 | Reward  205378.0 | Avg(10)  127686.8 | Dist   1448m ( 46.7%) | Buf  56.3% | Total  281608 | End: off_track
Ep ep_000570.20 | Time 0:22.15 | Steps  1100 | Reward   50736.9 | Avg(10)  127592.1 | Dist     10m (  0.3%) | Buf  56.5% | Total  282708 | End: off_track
Ep ep_000571.20 | Time 0:22.00 | Steps  1093 | Reward   50317.3 | Avg(10)  127465.4 | Dist     10m (  0.3%) | Buf  56.8% | Total  283801 | End: off_track
Ep ep_000572.20 | Time 1:24.34 | Steps  4072 | Reward  199277.6 | Avg(10)  121824.3 | Dist   1453m ( 46.9%) | Buf  57.6% | Total  287873 | End: off_track
Ep ep_000573.20 | Time 1:24.18 | Steps  4065 | Reward  198940.7 | Avg(10)  136544.6 | Dist   1450m ( 46.8%) | Buf  58.4% | Total  291938 | End: off_track
Ep ep_000574.20 | Time 1:22.27 | Steps  3978 | Reward  194527.8 | Avg(10)  150766.1 | Dist   1450m ( 46.8%) | Buf  59.2% | Total  295916 | End: off_track
Ep ep_000575.20 | Time 1:24.67 | Steps  4087 | Reward  198606.1 | Avg(10)  135274.2 | Dist   1459m ( 47.1%) | Buf  60.0% | Total  300003 | End: too_slow
Ep ep_000576.20 | Time 2:24.93 | Steps  6903 | Reward  340325.0 | Avg(10)  164341.1 | Dist   2773m ( 89.4%) | Buf  61.4% | Total  306906 | End: off_track
Ep ep_000577.20 | Time 2:28.93 | Steps  7103 | Reward  350487.8 | Avg(10)  194559.9 | Dist   2774m ( 89.5%) | Buf  62.8% | Total  314009 | End: off_track
Ep ep_000578.20 | Time 2:45.71 | Steps  7943 | Reward  397108.1 | Avg(10)  218570.5 | Dist   3000m ( 96.8%) | Buf  64.4% | Total  321952 | End: finished
Ep ep_000579.20 | Time 2:46.74 | Steps  7994 | Reward  399086.2 | Avg(10)  237941.3 | Dist   3000m ( 96.8%) | Buf  66.0% | Total  329946 | End: finished
Ep ep_000580.20 | Time 1:14.11 | Steps  3607 | Reward  172326.8 | Avg(10)  250100.3 | Dist   1149m ( 37.1%) | Buf  66.7% | Total  333553 | End: off_track
Ep ep_000581.20 | Time 0:57.39 | Steps  2817 | Reward  135202.7 | Avg(10)  258588.9 | Dist    811m ( 26.2%) | Buf  67.3% | Total  336370 | End: off_track
Ep ep_000582.20 | Time 2:47.94 | Steps  8054 | Reward  401285.4 | Avg(10)  278789.7 | Dist   3000m ( 96.8%) | Buf  68.9% | Total  344424 | End: finished
Ep ep_000583.20 | Time 2:29.75 | Steps  7144 | Reward  348580.1 | Avg(10)  293753.6 | Dist   2773m ( 89.5%) | Buf  70.3% | Total  351568 | End: off_track
Ep ep_000584.20 | Time 2:25.19 | Steps  6916 | Reward  339915.0 | Avg(10)  308292.3 | Dist   2772m ( 89.4%) | Buf  71.7% | Total  358484 | End: off_track
Ep ep_000585.20 | Time 2:24.23 | Steps  6868 | Reward  337051.2 | Avg(10)  322136.8 | Dist   2773m ( 89.5%) | Buf  73.1% | Total  365352 | End: off_track
Ep ep_000586.20 | Time 2:18.89 | Steps  6601 | Reward  324558.7 | Avg(10)  320560.2 | Dist   2773m ( 89.5%) | Buf  74.4% | Total  371953 | End: off_track
Ep ep_000587.20 | Time 1:35.53 | Steps  4581 | Reward  224155.0 | Avg(10)  307926.9 | Dist   1979m ( 63.8%) | Buf  75.3% | Total  376534 | End: off_track
Ep ep_000588.20 | Time 1:13.07 | Steps  3560 | Reward  172981.3 | Avg(10)  285514.2 | Dist   1261m ( 40.7%) | Buf  76.0% | Total  380094 | End: off_track
Ep ep_000589.20 | Time 1:07.31 | Steps  3298 | Reward  160076.6 | Avg(10)  261613.3 | Dist   1300m ( 41.9%) | Buf  76.7% | Total  383392 | End: off_track
Ep ep_000590.20 | Time 1:37.29 | Steps  4661 | Reward  227819.5 | Avg(10)  267162.6 | Dist   1975m ( 63.7%) | Buf  77.6% | Total  388053 | End: off_track
Ep ep_000591.20 | Time 1:38.28 | Steps  4706 | Reward  230226.8 | Avg(10)  276665.0 | Dist   1966m ( 63.4%) | Buf  78.6% | Total  392759 | End: off_track
Ep ep_000592.20 | Time 1:40.24 | Steps  4795 | Reward  232917.1 | Avg(10)  259828.1 | Dist   1977m ( 63.8%) | Buf  79.5% | Total  397554 | End: off_track
Ep ep_000593.20 | Time 1:42.57 | Steps  4901 | Reward  238033.4 | Avg(10)  248773.5 | Dist   1969m ( 63.5%) | Buf  80.5% | Total  402455 | End: off_track
Ep ep_000594.20 | Time 2:06.22 | Steps  5976 | Reward  271245.0 | Avg(10)  241906.5 | Dist   1970m ( 63.5%) | Buf  81.7% | Total  408431 | End: off_track
Ep ep_000595.20 | Time 2:17.21 | Steps  6517 | Reward  267370.2 | Avg(10)  234938.4 | Dist   1976m ( 63.8%) | Buf  83.0% | Total  414948 | End: off_track
Ep ep_000596.20 | Time 1:52.65 | Steps  5359 | Reward  236516.2 | Avg(10)  226134.1 | Dist   1980m ( 63.9%) | Buf  84.1% | Total  420307 | End: off_track
Ep ep_000597.20 | Time 1:42.31 | Steps  4889 | Reward  238729.9 | Avg(10)  227591.6 | Dist   1981m ( 63.9%) | Buf  85.0% | Total  425196 | End: off_track
Ep ep_000598.20 | Time 1:38.77 | Steps  4728 | Reward  231543.1 | Avg(10)  233447.8 | Dist   1973m ( 63.7%) | Buf  86.0% | Total  429924 | End: off_track
Ep ep_000599.20 | Time 1:38.68 | Steps  4724 | Reward  231232.0 | Avg(10)  240563.3 | Dist   1973m ( 63.6%) | Buf  86.9% | Total  434648 | End: off_track
Ep ep_000600.20 | Time 1:41.36 | Steps  4846 | Reward  237234.8 | Avg(10)  241504.9 | Dist   1971m ( 63.6%) | Buf  87.9% | Total  439494 | End: off_track
