Ep ep_000609.20 | Time 0:02.38 | Steps   165 | Reward    1756.5 | Avg(10)  195158.9 | Dist     10m (  0.3%) | Buf  95.0% | Total  474770 | End: too_slow
Ep ep_000610.20 | Time 0:02.38 | Steps   165 | Reward    1750.6 | Avg(10)  171610.5 | Dist     10m (  0.3%) | Buf  95.0% | Total  474935 | End: too_slow
Ep ep_000611.20 | Time 1:56.76 | Steps  5546 | Reward  247197.9 | Avg(10)  172235.2 | Dist   1972m ( 63.6%) | Buf  96.1% | Total  480481 | End: off_track
Ep ep_000612.20 | Time 1:58.50 | Steps  5625 | Reward  257702.6 | Avg(10)  173785.0 | Dist   1974m ( 63.7%) | Buf  97.2% | Total  486106 | End: off_track
Ep ep_000613.20 | Time 1:49.15 | Steps  5200 | Reward  255031.3 | Avg(10)  174668.7 | Dist   1974m ( 63.7%) | Buf  98.3% | Total  491306 | End: off_track
Ep ep_000614.20 | Time 1:52.45 | Steps  5350 | Reward  263045.6 | Avg(10)  176192.7 | Dist   1978m ( 63.8%) | Buf  99.3% | Total  496656 | End: off_track
Ep ep_000615.20 | Time 2:34.23 | Steps  7368 | Reward  359219.4 | Avg(10)  187707.5 | Dist   2775m ( 89.5%) | Buf 100.0% | Total  504024 | End: off_track
Ep ep_000616.20 | Time 2:53.23 | Steps  8318 | Reward  377068.8 | Avg(10)  201328.9 | Dist   2776m ( 89.5%) | Buf 100.0% | Total  512342 | End: off_track
Ep ep_000617.20 | Time 2:51.65 | Steps  8239 | Reward  339448.6 | Avg(10)  235055.6 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  520581 | End: off_track
Ep ep_000618.20 | Time 2:36.07 | Steps  7460 | Reward  341845.9 | Avg(10)  244406.7 | Dist   2274m ( 73.4%) | Buf 100.0% | Total  528041 | End: off_track
Ep ep_000619.20 | Time 2:38.51 | Steps  7582 | Reward  358008.4 | Avg(10)  280031.9 | Dist   2280m ( 73.5%) | Buf 100.0% | Total  535623 | End: off_track
Ep ep_000620.20 | Time 2:41.47 | Steps  7730 | Reward  358578.4 | Avg(10)  315714.7 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  543353 | End: off_track
Ep ep_000621.20 | Time 2:41.31 | Steps  7722 | Reward  359492.0 | Avg(10)  326944.1 | Dist   2274m ( 73.3%) | Buf 100.0% | Total  551075 | End: off_track
Ep ep_000622.20 | Time 2:14.97 | Steps  6405 | Reward  302620.8 | Avg(10)  331435.9 | Dist   1894m ( 61.1%) | Buf 100.0% | Total  557480 | End: too_slow
Ep ep_000623.20 | Time 2:35.91 | Steps  7452 | Reward  363608.7 | Avg(10)  342293.7 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  564932 | End: off_track
Ep ep_000624.20 | Time 2:31.61 | Steps  7237 | Reward  356123.6 | Avg(10)  351601.5 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  572169 | End: off_track
Ep ep_000625.20 | Time 2:13.49 | Steps  6331 | Reward  310701.6 | Avg(10)  346749.7 | Dist   1992m ( 64.3%) | Buf 100.0% | Total  578500 | End: off_track
Ep ep_000626.20 | Time 2:55.51 | Steps  8432 | Reward  415745.2 | Avg(10)  350617.3 | Dist   2784m ( 89.8%) | Buf 100.0% | Total  586932 | End: off_track
Ep ep_000627.20 | Time 3:13.76 | Steps  9345 | Reward  466844.4 | Avg(10)  363356.9 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  596277 | End: finished
Ep ep_000628.20 | Time 2:34.43 | Steps  7378 | Reward  360827.6 | Avg(10)  365255.1 | Dist   2269m ( 73.2%) | Buf 100.0% | Total  603655 | End: off_track
Ep ep_000629.20 | Time 3:09.50 | Steps  9132 | Reward  456681.0 | Avg(10)  375122.3 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  612787 | End: finished
Ep ep_000630.20 | Time 2:27.99 | Steps  7056 | Reward  347996.9 | Avg(10)  374064.2 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  619843 | End: off_track
Ep ep_000631.20 | Time 3:02.62 | Steps  8788 | Reward  439836.7 | Avg(10)  382098.7 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  628631 | End: finished
Ep ep_000632.20 | Time 2:59.29 | Steps  8622 | Reward  431381.3 | Avg(10)  394974.7 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  637253 | End: finished
Ep ep_000633.20 | Time 2:55.93 | Steps  8454 | Reward  423155.7 | Avg(10)  400929.4 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  645707 | End: finished
Ep ep_000634.20 | Time 2:53.14 | Steps  8314 | Reward  415971.7 | Avg(10)  406914.2 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  654021 | End: finished
Ep ep_000635.20 | Time 2:18.45 | Steps  6579 | Reward  324142.1 | Avg(10)  408258.3 | Dist   2399m ( 77.4%) | Buf 100.0% | Total  660600 | End: off_track
Ep ep_000636.20 | Time 2:08.67 | Steps  6090 | Reward  300037.1 | Avg(10)  396687.5 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  666690 | End: off_track
Ep ep_000637.20 | Time 1:57.60 | Steps  5584 | Reward  272794.1 | Avg(10)  377282.4 | Dist   2026m ( 65.4%) | Buf 100.0% | Total  672274 | End: off_track
Ep ep_000638.20 | Time 2:08.21 | Steps  6067 | Reward  298884.4 | Avg(10)  371088.1 | Dist   2274m ( 73.4%) | Buf 100.0% | Total  678341 | End: off_track
Ep ep_000639.20 | Time 2:27.69 | Steps  7041 | Reward  346175.2 | Avg(10)  360037.5 | Dist   2779m ( 89.7%) | Buf 100.0% | Total  685382 | End: off_track
Ep ep_000640.20 | Time 2:28.17 | Steps  7065 | Reward  347819.3 | Avg(10)  360019.8 | Dist   2773m ( 89.5%) | Buf 100.0% | Total  692447 | End: off_track
Ep ep_000641.20 | Time 2:32.03 | Steps  7258 | Reward  357310.2 | Avg(10)  351767.1 | Dist   2766m ( 89.2%) | Buf 100.0% | Total  699705 | End: off_track
Ep ep_000642.20 | Time 2:32.93 | Steps  7303 | Reward  359558.9 | Avg(10)  344584.9 | Dist   2770m ( 89.3%) | Buf 100.0% | Total  707008 | End: off_track
Ep ep_000643.20 | Time 2:36.99 | Steps  7506 | Reward  369770.2 | Avg(10)  339246.3 | Dist   2771m ( 89.4%) | Buf 100.0% | Total  714514 | End: off_track
Ep ep_000644.20 | Time 2:38.29 | Steps  7571 | Reward  372868.5 | Avg(10)  334936.0 | Dist   2770m ( 89.3%) | Buf 100.0% | Total  722085 | End: off_track
Ep ep_000645.20 | Time 2:37.21 | Steps  7517 | Reward  370465.6 | Avg(10)  339568.4 | Dist   2778m ( 89.6%) | Buf 100.0% | Total  729602 | End: off_track
Ep ep_000646.20 | Time 2:40.21 | Steps  7667 | Reward  378352.8 | Avg(10)  347399.9 | Dist   2789m ( 90.0%) | Buf 100.0% | Total  737269 | End: off_track
Ep ep_000647.20 | Time 2:45.15 | Steps  7914 | Reward  389277.4 | Avg(10)  359048.2 | Dist   2775m ( 89.5%) | Buf 100.0% | Total  745183 | End: off_track
  [ai-swap] loaded models/episodes/ep_000634.20 | new branch=21 | next=ep_000635.21
Ep ep_000635.21 | Time 2:12.49 | Steps  6281 | Reward  309421.0 | Avg(10)  309421.0 | Dist   2274m ( 73.4%) | Buf   1.3% | Total  751464 | End: off_track
Ep ep_000636.21 | Time 2:28.25 | Steps  7069 | Reward  347914.6 | Avg(10)  328667.8 | Dist   2272m ( 73.3%) | Buf   2.7% | Total  758533 | End: off_track
Ep ep_000637.21 | Time 2:45.59 | Steps  7936 | Reward  390235.7 | Avg(10)  349190.4 | Dist   2771m ( 89.4%) | Buf   4.3% | Total  766469 | End: off_track
Ep ep_000638.21 | Time 2:38.77 | Steps  7595 | Reward  372262.9 | Avg(10)  354958.6 | Dist   2765m ( 89.2%) | Buf   5.8% | Total  774064 | End: off_track
Ep ep_000639.21 | Time 2:41.79 | Steps  7746 | Reward  381042.7 | Avg(10)  360175.4 | Dist   2767m ( 89.3%) | Buf   7.3% | Total  781810 | End: off_track
Ep ep_000640.21 | Time 1:28.89 | Steps  4279 | Reward  207960.9 | Avg(10)  334806.3 | Dist   1171m ( 37.8%) | Buf   8.2% | Total  786089 | End: off_track
Ep ep_000641.21 | Time 2:46.61 | Steps  7987 | Reward  392130.5 | Avg(10)  342995.5 | Dist   2768m ( 89.3%) | Buf   9.8% | Total  794076 | End: off_track
Ep ep_000642.21 | Time 1:40.70 | Steps  4816 | Reward  235297.4 | Avg(10)  329533.2 | Dist   1443m ( 46.5%) | Buf  10.7% | Total  798892 | End: off_track
Ep ep_000643.21 | Time 2:47.17 | Steps  8015 | Reward  390739.2 | Avg(10)  336333.9 | Dist   2770m ( 89.4%) | Buf  12.3% | Total  806907 | End: off_track
Ep ep_000644.21 | Time 3:01.39 | Steps  8727 | Reward  433363.2 | Avg(10)  346036.8 | Dist   3000m ( 96.8%) | Buf  14.1% | Total  815634 | End: finished
Ep ep_000645.21 | Time 2:42.31 | Steps  7772 | Reward  379848.3 | Avg(10)  353079.5 | Dist   2773m ( 89.4%) | Buf  15.6% | Total  823406 | End: off_track
Ep ep_000646.21 | Time 1:57.53 | Steps  5581 | Reward  274573.0 | Avg(10)  345745.4 | Dist   1973m ( 63.6%) | Buf  16.8% | Total  828987 | End: off_track
Ep ep_000647.21 | Time 1:52.91 | Steps  5371 | Reward  261812.1 | Avg(10)  332903.0 | Dist   1952m ( 63.0%) | Buf  17.8% | Total  834358 | End: off_track
Ep ep_000648.21 | Time 1:53.55 | Steps  5400 | Reward  263254.0 | Avg(10)  322002.1 | Dist   1970m ( 63.5%) | Buf  18.9% | Total  839758 | End: off_track
Ep ep_000649.21 | Time 1:13.27 | Steps  3569 | Reward  172541.2 | Avg(10)  301152.0 | Dist   1097m ( 35.4%) | Buf  19.6% | Total  843327 | End: too_slow
Ep ep_000650.21 | Time 2:31.31 | Steps  7222 | Reward  353747.1 | Avg(10)  315730.6 | Dist   2772m ( 89.4%) | Buf  21.1% | Total  850549 | End: off_track
Ep ep_000651.21 | Time 2:34.17 | Steps  7365 | Reward  362002.2 | Avg(10)  312717.8 | Dist   2775m ( 89.5%) | Buf  22.5% | Total  857914 | End: off_track
Ep ep_000652.21 | Time 2:54.11 | Steps  8363 | Reward  417822.2 | Avg(10)  330970.2 | Dist   2999m ( 96.8%) | Buf  24.2% | Total  866277 | End: finished
Ep ep_000653.21 | Time 1:20.82 | Steps  3912 | Reward  188941.1 | Avg(10)  310790.4 | Dist   1104m ( 35.6%) | Buf  25.0% | Total  870189 | End: too_slow
Ep ep_000654.21 | Time 2:39.01 | Steps  7607 | Reward  375205.5 | Avg(10)  304974.7 | Dist   2780m ( 89.7%) | Buf  26.5% | Total  877796 | End: off_track
Ep ep_000655.21 | Time 2:41.09 | Steps  7711 | Reward  378061.9 | Avg(10)  304796.0 | Dist   2779m ( 89.6%) | Buf  28.1% | Total  885507 | End: off_track
Ep ep_000656.21 | Time 2:42.73 | Steps  7793 | Reward  381054.8 | Avg(10)  315444.2 | Dist   2779m ( 89.6%) | Buf  29.6% | Total  893300 | End: off_track
Ep ep_000657.21 | Time 2:45.29 | Steps  7921 | Reward  389311.0 | Avg(10)  328194.1 | Dist   2775m ( 89.5%) | Buf  31.2% | Total  901221 | End: off_track
Ep ep_000658.21 | Time 2:39.15 | Steps  7614 | Reward  373951.4 | Avg(10)  339263.8 | Dist   2774m ( 89.5%) | Buf  32.7% | Total  908835 | End: off_track
Ep ep_000659.21 | Time 2:35.63 | Steps  7438 | Reward  367180.0 | Avg(10)  358727.7 | Dist   2777m ( 89.6%) | Buf  34.2% | Total  916273 | End: off_track
Ep ep_000660.21 | Time 2:39.87 | Steps  7650 | Reward  376998.1 | Avg(10)  361052.8 | Dist   2781m ( 89.7%) | Buf  35.7% | Total  923923 | End: off_track
Ep ep_000661.21 | Time 3:03.05 | Steps  8810 | Reward  440780.1 | Avg(10)  368930.6 | Dist   2999m ( 96.8%) | Buf  37.5% | Total  932733 | End: finished
Ep ep_000662.21 | Time 3:02.39 | Steps  8777 | Reward  437425.2 | Avg(10)  370890.9 | Dist   3000m ( 96.8%) | Buf  39.3% | Total  941510 | End: finished
Ep ep_000663.21 | Time 3:05.27 | Steps  8921 | Reward  444938.3 | Avg(10)  396490.6 | Dist   3000m ( 96.8%) | Buf  41.0% | Total  950431 | End: finished
Ep ep_000664.21 | Time 3:16.63 | Steps  9489 | Reward  468252.2 | Avg(10)  405795.3 | Dist   3000m ( 96.8%) | Buf  42.9% | Total  959920 | End: finished
Ep ep_000665.21 | Time 3:19.86 | Steps  9650 | Reward  472800.9 | Avg(10)  415269.2 | Dist   3000m ( 96.8%) | Buf  44.9% | Total  969570 | End: finished
Ep ep_000666.21 | Time 0:43.27 | Steps  2111 | Reward  100555.6 | Avg(10)  387219.3 | Dist    262m (  8.4%) | Buf  45.3% | Total  971681 | End: off_track
Ep ep_000667.21 | Time 0:43.21 | Steps  2108 | Reward  100032.0 | Avg(10)  358291.4 | Dist    268m (  8.6%) | Buf  45.7% | Total  973789 | End: off_track
Ep ep_000668.21 | Time 0:40.57 | Steps  1976 | Reward   93795.8 | Avg(10)  330275.8 | Dist    258m (  8.3%) | Buf  46.1% | Total  975765 | End: off_track
Ep ep_000669.21 | Time 0:40.97 | Steps  1996 | Reward   94776.1 | Avg(10)  303035.4 | Dist    258m (  8.3%) | Buf  46.5% | Total  977761 | End: off_track
Ep ep_000670.21 | Time 0:38.67 | Steps  1881 | Reward   88893.6 | Avg(10)  274225.0 | Dist    252m (  8.1%) | Buf  46.9% | Total  979642 | End: off_track
Ep ep_000671.21 | Time 0:39.51 | Steps  1923 | Reward   91056.0 | Avg(10)  239252.6 | Dist    250m (  8.1%) | Buf  47.3% | Total  981565 | End: off_track
Ep ep_000672.21 | Time 0:17.95 | Steps   909 | Reward   40854.2 | Avg(10)  199595.5 | Dist     10m (  0.3%) | Buf  47.5% | Total  982474 | End: off_track
Ep ep_000673.21 | Time 0:16.80 | Steps   857 | Reward   33281.4 | Avg(10)  158429.8 | Dist     10m (  0.3%) | Buf  47.6% | Total  983331 | End: too_slow
Ep ep_000674.21 | Time 0:40.03 | Steps  1949 | Reward   92479.4 | Avg(10)  120852.5 | Dist    247m (  8.0%) | Buf  48.0% | Total  985280 | End: off_track
Ep ep_000675.21 | Time 0:41.57 | Steps  2026 | Reward   95879.8 | Avg(10)   83160.4 | Dist    207m (  6.7%) | Buf  48.4% | Total  987306 | End: off_track
Ep ep_000676.21 | Time 0:44.83 | Steps  2189 | Reward  102082.2 | Avg(10)   83313.1 | Dist    272m (  8.8%) | Buf  48.9% | Total  989495 | End: off_track
Ep ep_000677.21 | Time 0:47.23 | Steps  2309 | Reward  105940.8 | Avg(10)   83903.9 | Dist    248m (  8.0%) | Buf  49.3% | Total  991804 | End: off_track
Ep ep_000678.21 | Time 0:45.37 | Steps  2216 | Reward  103035.3 | Avg(10)   84827.9 | Dist    258m (  8.3%) | Buf  49.8% | Total  994020 | End: off_track
Ep ep_000679.21 | Time 0:45.59 | Steps  2227 | Reward  104202.1 | Avg(10)   85770.5 | Dist    235m (  7.6%) | Buf  50.2% | Total  996247 | End: off_track
  [ai-swap] loaded models/episodes/ep_000665.21 | new branch=22 | next=ep_000666.22
Ep ep_000666.22 | Time 0:36.57 | Steps  1776 | Reward   83777.8 | Avg(10)   83777.8 | Dist    293m (  9.5%) | Buf   0.4% | Total  998023 | End: off_track
Ep ep_000667.22 | Time 0:19.62 | Steps   985 | Reward   41776.5 | Avg(10)   62777.1 | Dist     10m (  0.3%) | Buf   0.6% | Total  999008 | End: too_slow
Ep ep_000668.22 | Time 0:35.51 | Steps  1723 | Reward   78667.3 | Avg(10)   68073.9 | Dist    251m (  8.1%) | Buf   0.9% | Total 1000731 | End: off_track
Ep ep_000669.22 | Time 0:12.77 | Steps   659 | Reward   28354.5 | Avg(10)   58144.0 | Dist     10m (  0.3%) | Buf   1.0% | Total 1001390 | End: off_track
Ep ep_000670.22 | Time 0:38.97 | Steps  1896 | Reward   89881.8 | Avg(10)   64491.6 | Dist    245m (  7.9%) | Buf   1.4% | Total 1003286 | End: off_track
Ep ep_000671.22 | Time 0:37.17 | Steps  1806 | Reward   85705.3 | Avg(10)   68027.2 | Dist    241m (  7.8%) | Buf   1.8% | Total 1005092 | End: off_track
Ep ep_000672.22 | Time 0:37.67 | Steps  1831 | Reward   87231.9 | Avg(10)   70770.7 | Dist    241m (  7.8%) | Buf   2.1% | Total 1006923 | End: off_track
Ep ep_000673.22 | Time 0:42.75 | Steps  2085 | Reward   97332.1 | Avg(10)   74090.9 | Dist    246m (  7.9%) | Buf   2.6% | Total 1009008 | End: off_track
=== Session 2026-05-31 09:08:06 | loaded: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000673.22 | next: ep_000674.22 ===
Ep ep_000674.22 | Time 0:03.57 | Steps   219 | Reward    6007.8 | Avg(10)    6007.8 | Dist     10m (  0.3%) | Buf   0.0% | Total     219 | End: off_track
Ep ep_000675.22 | Time 0:04.34 | Steps   254 | Reward    7826.1 | Avg(10)    6916.9 | Dist     10m (  0.3%) | Buf   0.1% | Total     473 | End: off_track
Ep ep_000676.22 | Time 0:03.88 | Steps   233 | Reward    6829.5 | Avg(10)    6887.8 | Dist     10m (  0.3%) | Buf   0.1% | Total     706 | End: off_track
Ep ep_000677.22 | Time 0:03.17 | Steps   201 | Reward    4625.4 | Avg(10)    6322.2 | Dist     10m (  0.3%) | Buf   0.2% | Total     907 | End: off_track
Ep ep_000678.22 | Time 0:03.17 | Steps   201 | Reward    4663.3 | Avg(10)    5990.4 | Dist     10m (  0.3%) | Buf   0.2% | Total    1108 | End: off_track
Ep ep_000679.22 | Time 0:04.12 | Steps   244 | Reward    7080.3 | Avg(10)    6172.1 | Dist     10m (  0.3%) | Buf   0.3% | Total    1352 | End: off_track
Ep ep_000680.22 | Time 0:03.37 | Steps   210 | Reward    5270.3 | Avg(10)    6043.3 | Dist     10m (  0.3%) | Buf   0.3% | Total    1562 | End: off_track
Ep ep_000681.22 | Time 0:03.52 | Steps   217 | Reward    6066.0 | Avg(10)    6046.1 | Dist     10m (  0.3%) | Buf   0.4% | Total    1779 | End: off_track
Ep ep_000682.22 | Time 0:05.64 | Steps   313 | Reward   10734.5 | Avg(10)    6567.0 | Dist     10m (  0.3%) | Buf   0.4% | Total    2092 | End: off_track
Ep ep_000683.22 | Time 0:04.03 | Steps   240 | Reward    7147.1 | Avg(10)    6625.0 | Dist     10m (  0.3%) | Buf   0.5% | Total    2332 | End: off_track
Ep ep_000684.22 | Time 0:05.33 | Steps   299 | Reward   10060.4 | Avg(10)    7030.3 | Dist     10m (  0.3%) | Buf   0.5% | Total    2631 | End: off_track
Ep ep_000685.22 | Time 0:03.19 | Steps   202 | Reward    4915.6 | Avg(10)    6739.2 | Dist     10m (  0.3%) | Buf   0.6% | Total    2833 | End: off_track
Ep ep_000686.22 | Time 0:03.77 | Steps   228 | Reward    6644.9 | Avg(10)    6720.8 | Dist     10m (  0.3%) | Buf   0.6% | Total    3061 | End: off_track
=== Restarting after change (load: models/episodes/ep_000665.21) 2026-05-31 09:09:40 ===
=== Session 2026-05-31 09:10:04 | loaded: models/episodes/ep_000665.21 | next: ep_000666.23 ===
Ep ep_000666.23 | Time 0:04.29 | Steps   252 | Reward    9853.2 | Avg(10)    9853.2 | Dist     10m (  0.3%) | Buf   0.1% | Total     252 | End: off_track
Ep ep_000667.23 | Time 0:03.30 | Steps   207 | Reward    7196.2 | Avg(10)    8524.7 | Dist     10m (  0.3%) | Buf   0.1% | Total     459 | End: off_track
Ep ep_000668.23 | Time 0:03.55 | Steps   218 | Reward    7822.3 | Avg(10)    8290.6 | Dist     10m (  0.3%) | Buf   0.1% | Total     677 | End: off_track
Ep ep_000669.23 | Time 0:03.15 | Steps   200 | Reward    6645.1 | Avg(10)    7879.2 | Dist     10m (  0.3%) | Buf   0.2% | Total     877 | End: off_track
Ep ep_000670.23 | Time 0:03.41 | Steps   212 | Reward    7477.4 | Avg(10)    7798.8 | Dist     10m (  0.3%) | Buf   0.2% | Total    1089 | End: off_track
Ep ep_000671.23 | Time 0:04.67 | Steps   269 | Reward   10941.6 | Avg(10)    8322.6 | Dist     10m (  0.3%) | Buf   0.3% | Total    1358 | End: off_track
Ep ep_000672.23 | Time 0:03.59 | Steps   220 | Reward    7939.9 | Avg(10)    8267.9 | Dist     10m (  0.3%) | Buf   0.3% | Total    1578 | End: off_track
Ep ep_000673.23 | Time 0:03.61 | Steps   221 | Reward    7908.2 | Avg(10)    8223.0 | Dist     10m (  0.3%) | Buf   0.4% | Total    1799 | End: off_track
Ep ep_000674.23 | Time 0:04.91 | Steps   280 | Reward   11553.2 | Avg(10)    8593.0 | Dist     10m (  0.3%) | Buf   0.4% | Total    2079 | End: off_track
Ep ep_000675.23 | Time 0:08.71 | Steps   456 | Reward   22103.3 | Avg(10)    9944.0 | Dist     10m (  0.3%) | Buf   0.5% | Total    2535 | End: off_track
Ep ep_000676.23 | Time 0:04.14 | Steps   245 | Reward    9499.2 | Avg(10)    9908.6 | Dist     10m (  0.3%) | Buf   0.6% | Total    2780 | End: off_track
Ep ep_000677.23 | Time 0:03.11 | Steps   198 | Reward    6422.3 | Avg(10)    9831.2 | Dist     10m (  0.3%) | Buf   0.6% | Total    2978 | End: off_track
Ep ep_000678.23 | Time 0:06.12 | Steps   335 | Reward   14816.8 | Avg(10)   10530.7 | Dist     10m (  0.3%) | Buf   0.7% | Total    3313 | End: off_track
Ep ep_000679.23 | Time 0:03.30 | Steps   207 | Reward    7102.1 | Avg(10)   10576.4 | Dist     10m (  0.3%) | Buf   0.7% | Total    3520 | End: off_track
Ep ep_000680.23 | Time 0:06.16 | Steps   337 | Reward   14876.0 | Avg(10)   11316.3 | Dist     10m (  0.3%) | Buf   0.8% | Total    3857 | End: off_track
Ep ep_000681.23 | Time 0:03.68 | Steps   224 | Reward    8174.3 | Avg(10)   11039.5 | Dist     10m (  0.3%) | Buf   0.8% | Total    4081 | End: off_track
Ep ep_000682.23 | Time 0:03.11 | Steps   198 | Reward    6655.5 | Avg(10)   10911.1 | Dist     10m (  0.3%) | Buf   0.9% | Total    4279 | End: off_track
Ep ep_000683.23 | Time 0:03.19 | Steps   202 | Reward    6845.5 | Avg(10)   10804.8 | Dist     10m (  0.3%) | Buf   0.9% | Total    4481 | End: off_track
Ep ep_000684.23 | Time 0:04.98 | Steps   283 | Reward   11744.5 | Avg(10)   10823.9 | Dist     10m (  0.3%) | Buf   1.0% | Total    4764 | End: off_track
Ep ep_000685.23 | Time 0:25.58 | Steps  1256 | Reward   66845.1 | Avg(10)   15298.1 | Dist    240m (  7.5%) | Buf   1.2% | Total    6020 | End: backwards
Ep ep_000686.23 | Time 0:14.77 | Steps   759 | Reward   40556.7 | Avg(10)   18403.9 | Dist     10m (  0.3%) | Buf   1.4% | Total    6779 | End: off_track
Ep ep_000687.23 | Time 0:03.59 | Steps   220 | Reward    8441.2 | Avg(10)   18605.8 | Dist     10m (  0.3%) | Buf   1.4% | Total    6999 | End: off_track
Ep ep_000688.23 | Time 0:03.22 | Steps   203 | Reward    7404.0 | Avg(10)   17864.5 | Dist     10m (  0.3%) | Buf   1.4% | Total    7202 | End: off_track
Ep ep_000689.23 | Time 0:03.48 | Steps   215 | Reward    8124.7 | Avg(10)   17966.7 | Dist     10m (  0.3%) | Buf   1.5% | Total    7417 | End: off_track
Ep ep_000690.23 | Time 0:03.52 | Steps   217 | Reward    8231.3 | Avg(10)   17302.3 | Dist     10m (  0.3%) | Buf   1.5% | Total    7634 | End: off_track
Ep ep_000691.23 | Time 0:03.63 | Steps   222 | Reward    8426.1 | Avg(10)   17327.5 | Dist     10m (  0.3%) | Buf   1.6% | Total    7856 | End: off_track
Ep ep_000692.23 | Time 0:03.90 | Steps   234 | Reward    9105.6 | Avg(10)   17572.5 | Dist     10m (  0.3%) | Buf   1.6% | Total    8090 | End: off_track
Ep ep_000693.23 | Time 0:04.03 | Steps   240 | Reward    9380.1 | Avg(10)   17825.9 | Dist     10m (  0.3%) | Buf   1.7% | Total    8330 | End: off_track
Ep ep_000694.23 | Time 0:03.85 | Steps   232 | Reward    8899.0 | Avg(10)   17541.4 | Dist     10m (  0.3%) | Buf   1.7% | Total    8562 | End: off_track
Ep ep_000695.23 | Time 0:04.47 | Steps   260 | Reward   10516.7 | Avg(10)   11908.5 | Dist     10m (  0.3%) | Buf   1.8% | Total    8822 | End: off_track
Ep ep_000696.23 | Time 0:04.43 | Steps   258 | Reward   10580.2 | Avg(10)    8910.9 | Dist     10m (  0.3%) | Buf   1.8% | Total    9080 | End: off_track
Ep ep_000697.23 | Time 0:04.38 | Steps   256 | Reward   10578.1 | Avg(10)    9124.6 | Dist     10m (  0.3%) | Buf   1.9% | Total    9336 | End: off_track
Ep ep_000698.23 | Time 0:11.15 | Steps   578 | Reward   29938.4 | Avg(10)   11378.0 | Dist     10m (  0.3%) | Buf   2.0% | Total    9914 | End: off_track
Ep ep_000699.23 | Time 0:04.23 | Steps   249 | Reward   10157.2 | Avg(10)   11581.3 | Dist     10m (  0.3%) | Buf   2.0% | Total   10163 | End: off_track
Ep ep_000700.23 | Time 0:04.10 | Steps   243 | Reward    9769.9 | Avg(10)   11735.1 | Dist     10m (  0.3%) | Buf   2.1% | Total   10406 | End: off_track
Ep ep_000701.23 | Time 0:03.92 | Steps   235 | Reward    9266.7 | Avg(10)   11819.2 | Dist     10m (  0.3%) | Buf   2.1% | Total   10641 | End: off_track
Ep ep_000702.23 | Time 0:05.79 | Steps   320 | Reward   14292.7 | Avg(10)   12337.9 | Dist     10m (  0.3%) | Buf   2.2% | Total   10961 | End: off_track
Ep ep_000703.23 | Time 0:04.73 | Steps   272 | Reward   11385.7 | Avg(10)   12538.5 | Dist     10m (  0.3%) | Buf   2.2% | Total   11233 | End: off_track
Ep ep_000704.23 | Time 0:01.18 | Steps   107 | Reward    1099.8 | Avg(10)   11758.5 | Dist      7m (  0.2%) | Buf   2.3% | Total   11340 | End: damage
Ep ep_000705.23 | Time 0:07.09 | Steps   379 | Reward   17554.3 | Avg(10)   12462.3 | Dist     10m (  0.3%) | Buf   2.3% | Total   11719 | End: off_track
Ep ep_000706.23 | Time 0:04.40 | Steps   257 | Reward   10536.5 | Avg(10)   12457.9 | Dist     10m (  0.3%) | Buf   2.4% | Total   11976 | End: off_track
Ep ep_000707.23 | Time 0:04.16 | Steps   246 | Reward    9862.1 | Avg(10)   12386.3 | Dist     10m (  0.3%) | Buf   2.4% | Total   12222 | End: off_track
Ep ep_000708.23 | Time 0:10.03 | Steps   522 | Reward   26442.8 | Avg(10)   12036.8 | Dist     10m (  0.3%) | Buf   2.5% | Total   12744 | End: off_track
Ep ep_000709.23 | Time 0:10.41 | Steps   541 | Reward   26551.2 | Avg(10)   13676.2 | Dist     10m (  0.3%) | Buf   2.7% | Total   13285 | End: off_track
Ep ep_000710.23 | Time 0:11.59 | Steps   600 | Reward   29329.0 | Avg(10)   15632.1 | Dist     10m (  0.3%) | Buf   2.8% | Total   13885 | End: too_slow
Ep ep_000711.23 | Time 0:11.73 | Steps   607 | Reward   31499.1 | Avg(10)   17855.3 | Dist     10m (  0.3%) | Buf   2.9% | Total   14492 | End: off_track
Ep ep_000712.23 | Time 0:11.97 | Steps   619 | Reward   32183.4 | Avg(10)   19644.4 | Dist     10m (  0.3%) | Buf   3.0% | Total   15111 | End: off_track
Ep ep_000713.23 | Time 0:11.85 | Steps   613 | Reward   30638.8 | Avg(10)   21569.7 | Dist     10m (  0.3%) | Buf   3.1% | Total   15724 | End: off_track
